dataset/row	baseline output	candidate output	target	baseline AST	candidate AST	target AST	W/T/L transition
mba_flatten:210	0x2 * (~ v1 | v0) - v0	~ v1 + ~ (v0 ^ v1)	0x1 * ~ (v0 ^ v1) + 0x1 * ~ v1	8	7	11	W→W
mba_flatten:214	-v1 - ~ v0	0x1 + v0 - v1	0x1 * ~ (v0 ^ v1) - 0x2 * ~ (v0 & ~ v1)	6	5	15	W→W
mba_flatten:215	(-0x1) * ~ v0	0x1 + v0	(-0x1) * ~ v0	3	3	3	T→T
mba_flatten:221	(-0x1) * ~ v0	0x1 + v0	(-0x1) * ~ v0	3	3	3	T→T
mba_flatten:242	-0x3 - 0x2 * v1 - (v0 & ~ v1)	-0x3 - 0x2 * v1 - v0 + (v1 & v0)	0x1 * ~ (v0 & ~ v1) + 0x2 * ~ v1	9	9	12	W→W
mba_flatten:249	0x2 * v1 - ~ (v1 & v0)	0x1 + 0x2 * v1 + (v1 & v0)	0x2 * v1 - ~ (v0 & v1)	8	7	9	W→W
mba_flatten:253	(-0x1) * ~ v0	0x1 + v0	(-0x1) * ~ v0	3	3	3	T→T
mba_flatten:276	0x1 - (v1 & ~ v0)	0x1 - v1 + (v1 & v0)	-(v0 | v1) - ~ v0	7	7	8	W→W
mba_flatten:283	(-0x1) * ~ v1	0x1 + v1	(-0x1) * ~ v1	3	3	3	T→T
mba_flatten:284	(-0x1) * ~ v0	0x1 + v0	(-0x1) * ~ v0	3	3	3	T→T
mba_flatten:288	(-0x1) * ~ (v0 ^ v1)	0x1 + (v0 ^ v1)	(-0x1) * ~ (v0 ^ v1)	5	5	5	T→T
mba_flatten:295	(-0x1) * ~ (v0 ^ v1)	0x1 + (v0 ^ v1)	(-0x1) * ~ (v0 ^ v1)	5	5	5	T→T
mba_flatten:296	-0x2 - (v0 & ~ v1)	-0x2 - v0 + (v0 & v1)	0x1 * ~ (v0 & ~ v0) + 0x1 * ~ (v0 & ~ v1)	7	7	15	W→W
mba_flatten:304	(-0x1) * ~ v1	0x1 + v1	(-0x1) * ~ v1	3	3	3	T→T
mba_flatten:307	0x2 * v0 - 0x3 * (v1 & v0) - ~ v1	0x1 + v1 + 0x2 * v0 - 0x3 * (v1 & v0)	0x1 * (v0 ^ v1) - ~ (v0 & ~ v1)	10	9	12	W→W
mba_flatten:319	(-0x1) * ~ v0	0x1 + v0	(-0x1) * ~ v0	3	3	3	T→T
mba_flatten:322	0x2 * (v0 & ~ v1) - ~ v1	v1 + 0x1 + 0x2 * (v0 & ~ v1)	-~ (v0 ^ v1) + 0x1 * v0	9	8	9	T→W
mba_flatten:341	(-0x1) * ~ v0	0x1 + v0	(-0x1) * ~ v0	3	3	3	T→T
mba_flatten:347	(-0x1) * ~ v1	0x1 + v1	(-0x1) * ~ v1	3	3	3	T→T
mba_flatten:352	(-0x1) * ~ (v0 ^ v1)	0x1 + (v0 ^ v1)	(-0x1) * ~ (v0 ^ v1)	5	5	5	T→T
mba_flatten:363	(-0x1) * ~ (v0 ^ v1)	0x1 + (v0 ^ v1)	(-0x1) * ~ (v0 ^ v1)	5	5	5	T→T
mba_flatten:369	0x2 * (v0 & v1) + 0x3 * ~ v1 - v0	~ (v0 ^ v1) + 0x2 * ~ v1	0x1 * ~ (v0 ^ v1) + 0x2 * ~ v1	10	8	11	W→W
mba_flatten:375	(-0x1) * ~ (v0 ^ v1)	0x1 + (v0 ^ v1)	(-0x1) * ~ (v0 ^ v1)	5	5	5	T→T
mba_flatten:381	v1 - ~ v0	0x1 + v0 + v1	-~ v0 + 0x1 * v1	5	4	7	W→W
mba_flatten:384	-0x3 * ~ v1 - 0x2 * (v1 & v0)	0x3 + 0x3 * v1 - 0x2 * (v1 & v0)	(-0x1) * 0x2 * (v0 | ~ v1) - ~ v1	8	8	11	W→W
mba_flatten:386	(-0x1) * ~ v0	0x1 + v0	(-0x1) * ~ v0	3	3	3	T→T
mba_flatten:394	0x5 * ~ v0 + 0xa * (v0 & v1) - 0x4 * v1	-0x5 - 0x5 * v0 - 0x4 * v1 + 0xa * (v0 & v1)	0x5 * ~ (v0 ^ v1) + 0x1 * v1	10	10	10	T→T
mba_flatten:395	(-0x1) * ~ (v0 & v1)	0x1 + (v0 & v1)	(-0x1) * ~ (v0 & v1)	5	5	5	T→T
mba_flatten:396	0x3 * v0 - ~ (v0 & v1)	0x1 + 0x3 * v0 + (v0 & v1)	0x3 * v0 - ~ (v0 & v1)	8	7	9	W→W
mba_flatten:405	(-0x1) * ~ (v0 ^ v1)	0x1 + (v0 ^ v1)	(-0x1) * ~ (v0 ^ v1)	5	5	5	T→T
mba_flatten:411	0x2 * v1 - ~ v0	0x1 + v0 + 0x2 * v1	-~ v0 + 0x2 * v1	6	5	7	W→W
mba_flatten:412	v1 - 0x2 - (v0 & ~ v1)	-0x2 + v1 - v0 + (v1 & v0)	0x1 * (v0 | v1) + 0x2 * ~ (v0 & ~ v1)	8	8	13	W→W
mba_flatten:414	0x2 * v0 - 0x6 * (v0 & v1) - 0x3 * ~ v1	0x3 + 0x2 * v0 + 0x3 * v1 - 0x6 * (v0 & v1)	-v0 - 0x3 * ~ (v0 ^ v1)	10	10	10	T→T
mba_flatten:420	-0x2 * ~ v1 - (v1 & v0)	0x2 + 0x2 * v1 - (v1 & v0)	-~ v1 - (v0 | ~ v1)	8	8	9	W→W
mba_flatten:422	(-0x1) * ~ v1	0x1 + v1	(-0x1) * ~ v1	3	3	3	T→T
mba_flatten:424	0x2 * ~ v1 + 0x3 * (v0 & v1) - v0	-0x2 - v0 - 0x2 * v1 + 0x3 * (v0 & v1)	0x1 * (v0 | ~ v1) + 0x1 * ~ (v0 ^ v1)	10	10	13	W→W
mba_flatten:427	0x1 - (v0 & ~ v1)	0x1 - v0 + (v0 & v1)	-(v0 | v1) - ~ v1	7	7	8	W→W
mba_flatten:436	0x2 * (v1 & ~ v0) - ~ v0	v0 + 0x1 + 0x2 * (v1 & ~ v0)	-~ v1 + 0x1 * (v0 ^ v1)	9	8	9	T→W
mba_flatten:437	0x2 * ~ v0 + 0x3 * (v0 & v1) - v1	-0x2 - 0x2 * v0 - v1 + 0x3 * (v0 & v1)	0x1 * ~ (v0 & ~ v1) + 0x1 * ~ (v0 ^ v1)	10	10	14	W→W
mba_flatten:441	0x2 * (v0 & v1) + 0x4 * ~ v1	-0x4 - 0x4 * v1 + 0x2 * (v0 & v1)	0x2 * ~ v1 + 0x2 * (v0 | ~ v1)	8	8	11	W→W
mba_flatten:443	0x2 * (v0 & v1) + 0x3 * ~ v1	-0x3 - 0x3 * v1 + 0x2 * (v0 & v1)	0x1 * ~ v1 + 0x2 * (v0 | ~ v1)	8	8	11	W→W
mba_flatten:446	0x1 - (v0 & ~ v1)	0x1 - v0 + (v0 & v1)	-~ v1 - (v0 | v1)	7	7	8	W→W
mba_flatten:456	(-0x1) * ~ (v0 & v1)	0x1 + (v0 & v1)	(-0x1) * ~ (v0 & v1)	5	5	5	T→T
mba_flatten:460	-0x2 - (v1 & ~ v0)	-0x2 - v1 + (v1 & v0)	0x1 * ~ (v0 & ~ v0) + 0x1 * (v0 | ~ v1)	7	7	14	W→W
mba_flatten:461	0x3 * v1 - (v0 & ~ v1)	0x3 * v1 - v0 + (v1 & v0)	0x4 * v1 - (v0 | v1)	8	8	8	T→T
mba_flatten:468	(-0x1) * ~ (v0 ^ v1)	0x1 + (v0 ^ v1)	(-0x1) * ~ (v0 ^ v1)	5	5	5	T→T
mba_flatten:469	0x2 * (v1 & ~ v0) - ~ v0	v0 + 0x1 + 0x2 * (v1 & ~ v0)	-(v0 | ~ v1) + 0x1 * (v0 | v1)	9	8	11	W→W
mba_flatten:475	0x3 * v1 - (v0 & ~ v1)	0x3 * v1 - v0 + (v1 & v0)	0x4 * v1 - (v0 | v1)	8	8	8	T→T
mba_flatten:476	-0x2 * ~ (v0 & v1) - v0	0x2 - v0 + 0x2 * (v0 & v1)	(-0x1) * 0x2 * ~ (v0 & v1) - v0	8	8	10	W→W
mba_flatten:480	0x2 * ~ v0 + (v0 & v1)	-0x2 - 0x2 * v0 + (v0 & v1)	0x1 * ~ (v0 & ~ v1) + 0x1 * ~ v0	7	7	12	W→W
mba_flatten:491	-0x2 * v0 - (v1 & ~ v0)	-0x2 * v0 - v1 + (v0 & v1)	-v0 - (v0 | v1)	8	8	7	L→L
mba_flatten:494	0x2 * (~ v1 | v0) - v0	~ v1 + ~ (v0 ^ v1)	0x1 * ~ (v0 ^ v1) + 0x1 * ~ v1	8	7	11	W→W
mba_flatten:510	v0 - 0x7 * (v0 & v1) - 0x6 * ~ v1	0x6 + v0 + 0x6 * v1 - 0x7 * (v0 & v1)	(-0x1) * 0x5 * (v0 | ~ v1) - 0x1 * ~ (v0 ^ v1)	9	9	15	W→W
mba_flatten:511	0x6 * v1 - 0x2 * ~ v0	0x2 + 0x2 * v0 + 0x6 * v1	(-0x1) * 0x2 * ~ v0 + 0x6 * v1	6	6	9	W→W
mba_flatten:516	0x7 * ~ v0 + 0xe * (v0 & v1)	-0x7 - 0x7 * v0 + 0xe * (v0 & v1)	0x7 * v1 + 0x7 * ~ (v0 ^ v1)	8	8	10	W→W
mba_flatten:525	0x6 * ~ v0 + 0xd * (v0 & v1) - 0x7 * v1	-0x6 - 0x6 * v0 - 0x7 * v1 + 0xd * (v0 & v1)	(-0x1) * 0x1 * ~ (v0 & ~ v1) + 0x7 * ~ (v0 ^ v1)	10	10	15	W→W
mba_flatten:534	v0 + 0x6 * (v0 & v1) + 0x7 * ~ v1	-0x7 + v0 - 0x7 * v1 + 0x6 * (v0 & v1)	0x1 * (v0 & ~ v1) + 0x7 * (v0 | ~ v1)	9	9	13	W→W
mba_flatten:537	-0x7 * v1 - (~ v0 | v1)	0x1 - 0x7 * v1 + (v0 & ~ v1)	(-0x1) * 0x1 * ~ (v0 & ~ v1) - 0x7 * v1	8	8	13	W→W
mba_flatten:542	0x3 * (v1 & ~ v0) + 0x8 * ~ v0	-0x8 + 0x3 * (v1 & ~ v0) - 0x8 * v0	0xb * ~ v0 - 0x3 * ~ (v0 | v1)	9	9	12	W→W
mba_flatten:554	(v0 & v1) - (v0 & v1 & v2)	v0 & v1 & ~ v2	0x1 * (v0 & v1) - 0x1 * (v0 & v1 & v2)	9	5	14	W→W
mba_flatten:556	0x3 * (~ v1 | v2) + 0x5 * (v0 & v1) - 0x5 * (v0 & v2 & v1) - 0x3 * (v0 | v2)	0x3 * (~ v1 | v2) + 0x5 * (v0 & v1 & ~ v2) - 0x3 * (v0 | v2)	0x2 * ~ (~ v0 | ~ v1 | v2) + 0x3 * ~ (v0 | v1 | v2)	19	16	19	T→W
mba_flatten:561	0x4 * ~ v0 + 0x6 * (v0 & v1) - 0x4 * (v0 & v2 & v1) - 0x4 * (v1 & ~ v2) - 0x2 * (v2 & ~ v0)	-0x4 + 0x4 * (v1 & v2 & ~ v0) + 0x6 * (v0 & v1) - 0x4 * v0 - 0x4 * v1 - 0x2 * (v2 & ~ v0)	0x2 * (v1 ^ ~ v0 & (v1 ^ v2)) + 0x4 * ~ (v0 | v1 | v2)	23	21	19	L→L
mba_flatten:562	(v0 & v1) - (v0 & v1 & v2)	v0 & v1 & ~ v2	0x1 * ~ (~ v0 | ~ v1 | v2)	9	5	10	W→W
mba_flatten:566	~ (v0 ^ v1) + 0x2 * (v0 & v2) - 0x2 * (v0 & v1 & v2)	~ (v0 ^ v1) + 0x2 * (v0 & v2 & ~ v1)	0x1 * (v1 ^ (~ v0 | v1 ^ v2)) + 0x1 * (v0 & (v1 ^ v2))	14	11	18	W→W
mba_flatten:569	0x5 * (v0 & v1) + 0x5 * (v0 & ~ v2) - 0xa * (v1 & ~ v2) - 0x5 * (v0 & v1 & v2)	0x5 * (v0 & v1 & ~ v2) + 0x5 * (v0 & ~ v2) - 0xa * (v1 & ~ v2)	(-0x1) * 0xa * ~ (v0 | ~ v1 | v2) + 0x5 * ~ (~ v0 | v1 | v2)	20	17	20	T→W
mba_flatten:577	0x3 * (v1 & v2 & v0) - 0x3 * (v1 & v2) - 0x2 * ~ v2 + (v1 & ~ v0)	0x2 + 0x2 * v2 - 0x3 * (v1 & v2 & ~ v0) + (v1 & ~ v0)	(-0x1) * 0x1 * ~ (v0 | ~ v1 | v2) - 0x2 * (v2 ^ (v0 | ~ v1))	17	14	20	W→W
mba_flatten:578	0x7 * (v1 & v2) - 0x7 * (v1 & v2 & v0)	0x7 * (v1 & v2 & ~ v0)	0x7 * (~ v0 & v1 & v2)	10	6	8	L→W
mba_flatten:581	0x6 * ~ (v1 ^ v2) - 0x7 * (v1 & v2 & v0)	-0x6 - 0x7 * (v1 & v2 & v0) - 0x6 * (v1 ^ v2)	0x6 * ~ (v1 ^ v2) - 0x7 * (v0 & v1 & v2)	11	11	15	W→W
mba_flatten:582	0x5 * (v0 & v1 & v2) + 0x6 * (v0 | v1) - 0x6 * (~ v2 | v1) - 0x5 * (v0 & v2)	0x6 * (v0 | v1) - 0x6 * (~ v2 | v1) - 0x5 * (v0 & v2 & ~ v1)	(-0x1) * 0x6 * ~ (v0 | v1 | v2) + 0x1 * (v0 & ~ v1 & v2)	19	16	18	L→W
mba_flatten:583	0x2 * (v0 | v2) + 0x6 * (v0 & v1) - 0x6 * (v0 & v1 & v2) - 0x2 * (~ v1 | v2)	0x2 * (v0 | v2) + 0x6 * (v0 & v1 & ~ v2) - 0x2 * (~ v1 | v2)	0x8 * ~ (~ v0 | ~ v1 | v2) - 0x2 * ~ (v0 | v1 | v2)	19	16	20	W→W
mba_flatten:584	0xb * (v0 & v1 & v2) + 0xc * (v2 & ~ v1) - 0xb * (v0 & v2) - (v0 & ~ v1)	0xc * (v2 & ~ v1) - 0xb * (v0 & v2 & ~ v1) - (v0 & ~ v1)	0xc * (~ v0 & ~ v1 & v2) - 0x1 * ~ (~ v0 | v1 | v2)	20	17	20	T→W
mba_flatten:585	0xb * (v1 & v2) - 0xb * (v1 & v2 & v0)	0xb * (v1 & v2 & ~ v0)	0xb * (~ v0 & v1 & v2)	10	6	8	L→W
mba_flatten:588	0x6 * (v2 & ~ (v0 | v1)) - 0xb * ~ (v0 | v1)	0xb + 0x6 * (v2 & ~ (v0 | v1)) + 0xb * (v0 | v1)	0x6 * (~ v0 & ~ v1 & v2) - 0xb * ~ (v0 | v1)	13	13	17	W→W
mba_flatten:589	0x2 * ~ v1 + 0xd * (v0 & v2) + 0x11 * (v2 & v1) - 0xf * v2 - 0xf * (v0 & v2 & v1)	-0x2 - 0xf * v2 + 0xd * (v0 & v2) - 0x2 * v1 + 0x11 * (v2 & v1) - 0xf * (v0 & v2 & v1)	0x2 * (~ (v0 & v1) & ~ (v1 ^ v2)) - 0xd * (~ v0 & ~ v1 & v2)	19	19	22	W→W
mba_flatten:604	-0x6 * (v1 & v2) + 0x6 * (v0 & v1 & v2)	(-0x6) * (v1 & v2 & ~ v0)	(-0x1) * 0x6 * (~ v0 & v1 & v2)	10	6	9	L→W
mba_flatten:606	0x2 * (v0 | v1) + 0x3 * (v0 & v1 & v2) - 0x3 * (v1 & v2) - 0x2 * (~ v2 | v0)	0x2 * (v0 | v1) - 0x3 * (v1 & v2 & ~ v0) - 0x2 * (~ v2 | v0)	(-0x1) * 0x2 * ~ (v0 | v1 | v2) - 0x1 * (~ v0 & v1 & v2)	19	16	19	T→W
mba_flatten:607	0x6 * (v2 & ~ v1) + 0x6 * (v0 ^ v1) + 0x9 * (v0 & v1 & v2) - 0x9 * (v0 & v2)	0x6 * (v2 & ~ v1) + 0x6 * (v0 ^ v1) - 0x9 * (v0 & v2 & ~ v1)	0x6 * (v0 ^ (v1 | v2)) + 0x3 * (v0 & ~ v1 & v2)	19	16	16	L→T
mba_flatten:612	0x6 * (v0 & v1) - 0x7 * (v0 & v1 & v2) - (~ v1 | v2) + (v0 | v2)	0x1 + 0x6 * (v0 & v1) - 0x7 * (v0 & v1 & v2) + (v1 & ~ v2) + (v0 | v2)	0x8 * ~ (~ v0 | ~ v1 | v2) - 0x1 * (v1 ^ ~ (v0 | ~ v1 & v2))	18	18	23	W→W
mba_flatten:613	0x9 * (~ v2 | v1) + 0x12 * (v0 & v2) - 0x12 * (v0 & v1 & v2) - 0x9 * (v0 | v1)	0x9 * (~ v0 ^ ~ v1 & v2) - 0x9 * (v1 & ~ v0)	0x9 * (v0 & ~ v1 & v2) + 0x9 * ~ (v0 | v1 | v2)	19	14	17	L→W
mba_flatten:614	0x3 * (v0 & v1 & v2) - 0x2 * (v0 & v2) - 0x2 * (v1 & v2) - ~ v2 + (v0 | v1)	v2 + 0x1 + 0x3 * (v0 & v1 & v2) - 0x2 * (v0 & v2) - 0x2 * (v1 & v2) + (v0 | v1)	(-0x1) * 0x1 * (~ (v0 & v1) & ~ (v0 ^ v1 ^ v2))	20	19	14	L→L
mba_flatten:616	0x2 * (v0 ^ v1) + 0xb * (v0 & v1 & v2) - 0x7 * (v0 & v2) - 0x4 * (v1 & v2) - 0x2 * ~ v2	0x2 + 0x2 * v2 + 0x2 * (v0 ^ v1) + 0xb * (v0 & v1 & v2) - 0x7 * (v0 & v2) - 0x4 * (v1 & v2)	(-0x1) * 0x2 * (~ (v0 & ~ v1) & ~ (v0 ^ v1 ^ v2)) - 0x5 * (v0 & ~ v1 & v2)	21	21	25	W→W
mba_flatten:617	-0x5 * ~ (v1 | v2) + (v0 & ~ (v1 | v2))	0x5 + 0x5 * (v1 | v2) + (v0 & ~ (v1 | v2))	(-0x1) * 0x5 * ~ (v0 | v1 | v2) - 0x4 * ~ (~ v0 | v1 | v2)	12	12	20	W→W
mba_flatten:618	0x2 * (v0 & v1) - 0x3 * (~ v0 | v2) - 0x2 * (v0 & v1 & v2) - 0x2 * (v1 | v2)	-0x3 * (~ v0 | v2) - 0x2 * (v1 & ~ v0 | v2)	(-0x1) * 0x3 * ~ (v0 | v1 | v2) - 0x5 * (v2 | ~ (v0 | ~ v1))	19	13	20	W→W
mba_flatten:619	0xb * (v0 & ~ (v1 | v2)) - 0xa * ~ (v1 | v2)	0xa + 0xa * (v1 | v2) + 0xb * (v0 & ~ (v1 | v2))	(-0x1) * 0xa * ~ (v0 | v1 | v2) + 0x1 * ~ (~ v0 | v1 | v2)	13	13	19	W→W
mba_flatten:620	0x3 * ~ (v0 | v1) - 0x2 * (v2 & ~ (v0 | v1))	-0x3 - 0x3 * (v0 | v1) - 0x2 * (v2 & ~ (v0 | v1))	0x1 * (~ v0 & ~ v1 & v2) + 0x3 * ~ (v0 | v1 | v2)	13	13	18	W→W
mba_flatten:621	0x3 * (v2 & ~ v1) + 0x4 * (v0 & ~ v1) + 0x7 * (v2 & v0 & v1) - 0x7 * (v2 & v0)	0x3 * (v2 & ~ v1) + 0x4 * (v0 & ~ v1) - 0x7 * (v0 & v2 & ~ v1)	0x3 * (~ v0 & ~ v1 & v2) + 0x4 * ~ (~ v0 | v1 | v2)	20	17	19	L→W
mba_flatten:623	0x4 * (v0 & ~ v1) - 0x2 * ~ (v0 & v1 & v2) - 0x2 * (v0 & v2)	0x2 + 0x4 * (v0 & ~ v1) - 0x2 * (v0 & v2 & ~ v1)	0x4 * ~ (~ v0 | v1 | v2) - 0x2 * ~ (v0 & ~ v1 & v2)	16	13	20	W→W
mba_flatten:626	0x5 * (v0 & v1 & v2) - 0x7 * ~ v2	0x7 + 0x7 * v2 + 0x5 * (v0 & v1 & v2)	(-0x1) * 0x7 * (v2 ^ ~ (v0 & v1 & v2)) + 0xc * (v0 & v1 & v2)	9	9	19	W→W
mba_flatten:629	0x7 * v1 - v0 - 0x6 * (v1 & v0) + 0x8 * (v0 & v2) - 0x8 * (v1 & v0 & v2)	0x7 * v1 + 0x8 * (v0 & v2 & ~ v1) - 0x6 * (v1 & v0) - v0	(-0x1) * 0x1 * ~ (~ v0 | v1 | v2) + 0x7 * (v1 ^ v0 & (v1 | v2))	18	15	20	W→W
mba_flatten:630	(-0x1) * ~ (v2 | v0 | v1)	0x1 + (v2 | v0 | v1)	(-0x1) * 0x1 * ~ (v0 | v1 | v2)	6	6	9	W→W
mba_flatten:633	-0x3 * (v0 & v2) - 0x3 * (v1 & ~ v0) - ~ v0	v0 + 0x1 - 0x3 * (v0 & v2) - 0x3 * (v1 & ~ v0)	(-0x1) * 0x1 * ~ v0 - 0x3 * (v1 ^ v0 & (v1 ^ v2))	13	12	16	W→W
mba_flatten:634	0xb * (v1 & v0) - 0xb * (v1 & v0 & v2) + (v1 & ~ v2)	0xb * (v0 & v1 & ~ v2) + (v1 & ~ v2)	0x1 * ~ (v0 | ~ v1 | v2) + 0xc * ~ (~ v0 | ~ v1 | v2)	14	11	20	W→W
mba_flatten:635	0x3 * (v0 & v2) - 0x3 * (v0 & v2 & v1) - 0x3 * (v2 ^ v1)	0x3 * (v0 & v2 & ~ v1) - 0x3 * (v2 ^ v1)	(-0x1) * 0x3 * (~ (v0 & ~ v1) & (v1 ^ v2))	14	11	12	L→W
mba_flatten:637	0x6 + 0x10 * (v1 & v2) - 0x5 * (v0 & v1 & v2) - 0x5 * (v2 & ~ v0) - 0x5 * (v0 | v1)	0x6 + 0x10 * (v1 & v2) - 0x5 * v1 - 0x5 * (v0 & ~ v1 | v2)	0x5 * ~ (v0 | v1 | v2) - 0xb * ~ (v1 & v2)	20	15	16	L→W
mba_flatten:638	-(v0 & v2) + (v0 & v2 & v1)	(-0x1) * (v0 & v2 & ~ v1)	(-0x1) * 0x1 * (v0 & ~ v1 & v2)	9	6	9	T→W
mba_flatten:639	0x2 * ~ v1 + 0x7 * (v0 & v1) - 0x5 * (v0 & v1 & v2)	-0x2 - 0x2 * v1 + 0x7 * (v0 & v1) - 0x5 * (v0 & v1 & v2)	0x7 * ~ (~ v0 | ~ v1 | v2) + 0x2 * (v1 ^ ~ (v0 & v1 & v2))	13	13	21	W→W
mba_flatten:641	0x6 * (v0 | v1) - 0x6 * (~ v2 | v0) - (v1 & v2) + (v0 & v1 & v2)	0x6 * (v0 | v1) - 0x6 * (~ v2 | v0) - (v1 & v2 & ~ v0)	(-0x1) * 0x6 * ~ (v0 | v1 | v2) + 0x5 * (~ v0 & v1 & v2)	18	16	18	T→W
mba_flatten:643	0x3 * ~ (v1 | v2) + 0x3 * (v0 & v1) + 0x8 * (v0 & v1 & v2)	-0x3 + 0x3 * (v0 & v1) + 0x8 * (v0 & v1 & v2) - 0x3 * (v1 | v2)	0x3 * (v2 ^ (v0 | ~ v1 | v2)) + 0xb * (v0 & v1 & v2)	15	15	18	W→W
mba_flatten:647	-(v0 | v1) - (~ v2 | v1)	0x1 - (v0 | v1) + (v2 & ~ v1)	(-0x1) * 0x2 * ~ (~ v0 & ~ v1 & v2) + 0x1 * (~ v1 & ~ (v0 ^ v2))	10	10	21	W→W
mba_flatten:648	0x2 * (v0 & v2) - 0x2 * (v0 & v2 & v1)	0x2 * (v0 & v2 & ~ v1)	0x2 * (v0 & ~ v1 & v2)	10	6	8	L→W
mba_flatten:650	0x3 * ~ (v2 | v1) + 0x3 * (v0 & v2)	-0x3 + 0x3 * (v0 & v2) - 0x3 * (v2 | v1)	0x3 * (v0 & v2 | ~ (v1 | v2))	10	10	10	T→T
mba_flatten:652	-0x7 * (v0 & v1) + 0x7 * (v0 & v1 & v2)	(-0x7) * (v0 & v1 & ~ v2)	(-0x1) * 0x7 * ~ (~ v0 | ~ v1 | v2)	10	6	11	W→W
mba_flatten:654	0x6 * (v1 & v2) - 0x7 * ~ v0 - 0x6 * (v1 & v2 & v0)	0x7 + 0x6 * (v1 & v2 & ~ v0) + 0x7 * v0	(-0x1) * 0x7 * ~ v0 + 0x6 * (~ v0 & v1 & v2)	13	10	14	W→W
